User_Name,followers_Count,Likes,Retweets,Reply,Impression,Text,Label,hashtags,Lemma,Porterstemmer,Snowballstemmer
SoleCollector.com,625078,11,1,0,14086,Drake's Nocta x Nike Swim Fins Release This Month https://t.co/xhdcFVfyoQ,Nike,,drake nocta x nike swim fin release month,drake nocta x nike swim fin releas month,drake nocta x nike swim fin releas month
Jacques Slade,56483,52,8,6,12202,"The Nike Zoom Vomero 5 is hot right now and Jaren’s @ohsudoernbecher design is adding to the 🔥🔥🔥. 

#sneakers #sneakerhead #ohsu #sneakersonthewall #vomero5 https://t.co/8Hzdty1JiE",Nike,sneakers sneakerhead ohsu sneakersonthewall vomero5,nike zoom vomero hot right jarens design adding,nike zoom vomero hot right jaren design ad,nike zoom vomero hot right jaren design ad
Shiekh.com,26452,0,0,0,846,"(M) #Nike AIR MAX 97 SE ""Frank Rudy"" 

Shop #ShiekhShoes
https://t.co/EZu67KLk9q https://t.co/exr7mN4JfG",Nike,nike shiekhshoes,air max se frank rudy shop,air max se frank rudi shop,air max se frank rudi shop
Sneaker Steal,329542,6,2,0,9608,"STEAL💥

Air Jordan 1 Low ‘Dark Concord’ 

$70.47 + Free Shipping

https://t.co/9gm8umdwYa

*use code WOMEN25 at checkout* https://t.co/X1RJ27ilnk",Nike,,steal air jordan low dark concord free shipping use code checkout,steal air jordan low dark concord free ship use code checkout,steal air jordan low dark concord free ship use code checkout
Social Status,25095,0,0,0,1391,"Get ahead of the game with @Nike's latest arrivals. 

Discover the newest arrivals to take your performance to the next level https://t.co/2KYehM5S55 https://t.co/kT6Sh30WSC",Nike,,get ahead game latest arrival discover newest arrival take performance next level,get ahead game latest arriv discov newest arriv take perform next level,get ahead game latest arriv discov newest arriv take perform next level
GQ Sports,23531,38,2,0,19349,.@FaZeAdapt unboxes the Nike LeBron Nxxt Gen x @FaZeClan collab available today https://t.co/TK6TmNVPV4,Nike,,unboxes nike lebron nxxt gen x collab available today,unbox nike lebron nxxt gen x collab avail today,unbox nike lebron nxxt gen x collab avail today
Kicks Deals,473846,8,0,0,17087,"Limited-time savings of $40 OFF retail are active for the white/beach-photo blue Nike Blazer Mid Pro Club at $73.48 + FREE shipping.

BUY HERE -&gt; https://t.co/4sCP4N1XMy (promotion - use code WOMEN25 at checkout) https://t.co/uqRdQ9S48E",Nike,,limited time saving retail active white beach photo blue nike blazer mid pro club free shipping buy gt promotion use code checkout,limit time save retail activ white beach photo blue nike blazer mid pro club free ship buy gt promot use code checkout,limit time save retail activ white beach photo blue nike blazer mid pro club free ship buy gt promot use code checkout
Tiffany & Co.,1856350,784,97,18,67364,"New York, new shoes. Discover more: https://t.co/XgBznbtR1b #NikexTiffany #TiffanyAndCo https://t.co/1cLibc2EPJ",Nike,nikextiffany tiffanyandco,new york new shoe discover,new york new shoe discov,new york new shoe discov
Nygel Edmonds,159812,1216,77,9,71624,Nike Vintage https://t.co/m2uB6Rv86q,Nike,,nike vintage,nike vintag,nike vintag
WEAR ABC 3,87831,11,4,0,1205,"GOOD LUCK! Pensacola 13-year-old Zamari Purifoy will compete against runners four and five years his senior at the Nike Nationals this weekend in New York.
 https://t.co/XvHBRFqdby",Nike,,good luck pensacola year old zamari purifoy compete runner four five year senior nike national weekend new york,good luck pensacola year old zamari purifoy compet runner four five year senior nike nation weekend new york,good luck pensacola year old zamari purifoy compet runner four five year senior nike nation weekend new york
Campaign,224771,3,1,0,1392,Pick of the Week: Corteiz (and Nike) film ‘Rules the world’ @flaming_meaux https://t.co/CgR8SFykLo,Nike,,pick week corteiz nike film rule world,pick week corteiz nike film rule world,pick week corteiz nike film rule world
FOOTASYLUM,54456,5,0,0,1909,"A real fan favourite. 🎤

Shop the look online &amp; in store with Nippa and the @Nike Air Max TW.

Shop Nike. 📲 https://t.co/5CkMRbfZNK https://t.co/NWby6L7NzF",Nike,,real fan favourite shop look online amp store nippa air max tw shop nike,real fan favourit shop look onlin amp store nippa air max tw shop nike,real fan favourit shop look onlin amp store nippa air max tw shop nike
Kicks Deals,473846,22,2,1,18836,"The wild berry/celestine blue @UNDEFEATEDinc x Nike Air Force 1 Low SP is almost $40 OFF retail at $120.97 + FREE shipping. #promotion

BUY HERE -&gt; https://t.co/MXVXvuACky https://t.co/9TILeSaVxV",Nike,promotion,wild berry celestine blue x nike air force low sp almost retail free shipping buy gt,wild berri celestin blue x nike air forc low sp almost retail free ship buy gt,wild berri celestin blue x nike air forc low sp almost retail free ship buy gt
Nike,9740416,0,0,0,0,Stay dry and storm ahead in the Pegasus Trail 4 GORE-TEX—made for rugged trails and rainy days. Shop now on https://t.co/yYv8xSbp4x.,Nike,,stay dry storm ahead pegasus trail gore texmade rugged trail rainy day shop,stay dri storm ahead pegasu trail gore texmad rug trail raini day shop,stay dri storm ahead pegasus trail gore texmad rug trail raini day shop
Footpatrol London,85460,11,0,0,4786,"Making their first appearance in 03, the Nike Air Max 1 'Shima Shima' returns this time combining the two previous colorways into one. The latest arrival is available in-store and online 10/3. (Available online at 8AM GMT).

#Footpatrol #TEAMFP #Nike #NikeAirMax1 https://t.co/paaBxxjiVs",Nike,footpatrol teamfp nike nikeairmax1,making first appearance nike air max shima shima return time combining two previous colorways one latest arrival available store online available online gmt,make first appear nike air max shima shima return time combin two previou colorway one latest arriv avail store onlin avail onlin gmt,make first appear nike air max shima shima return time combin two previous colorway one latest arriv avail store onlin avail onlin gmt
Kicks Deals,473846,16,1,0,48085,"😲 Just select sizes under 11 remain for the apple green/yellow strike ""Be True To Your School"" Nike Dunk Low Retro for $110 + FREE shipping. #promotion

BUY HERE -&gt; https://t.co/stbeQID3C9 👀 https://t.co/K7WGVubXfW",Nike,promotion,select size remain apple green yellow strike true school nike dunk low retro free shipping buy gt,select size remain appl green yellow strike true school nike dunk low retro free ship buy gt,select size remain appl green yellow strike true school nike dunk low retro free ship buy gt
HYPEBEAST,839662,62,6,9,39679,22-year-old Russian designer Canyaon takes the #Nike M2K Tekno to the salon ✂️  #Uzi would approve. https://t.co/xoHl6VUekQ,Nike,nike uzi,year old russian designer canyaon take tekno salon would approve,year old russian design canyaon take tekno salon would approv,year old russian design canyaon take tekno salon would approv
SoleCollector.com,625078,17,1,0,15169,Fly Streetwear's Nike SB Dunk Collab Drops This Month https://t.co/AbLjhrEOEY,Nike,,fly streetwear nike sb dunk collab drop month,fli streetwear nike sb dunk collab drop month,fli streetwear nike sb dunk collab drop month
Nike,9740416,0,0,0,0,The Nike React Infinity 3 is built for a smooth run with soft and supportive cushioning. Shop now on https://t.co/yYv8xSbp4x.,Nike,,nike react infinity built smooth run soft supportive cushioning shop,nike react infin built smooth run soft support cushion shop,nike react infin built smooth run soft support cushion shop
HOOP,5140,0,0,0,437,"JT 1 ""Momma's Boy"" (worn by Jayson Tatum) ⏩ Kobe 9 EM ""Bruce Lee"" ⏩ Kobe AD Mid Devin Booker PE ⏩ MB.02 ""Honeycomb"" ⏩ Fresh Foam BB Zach LaVine PE ⏩Trae Young 1 ⏩ GT Cut 2 ""Nike University"" ⏩ PG 1 ""Flip the Switch"" ⏩ LeBron 20 ""All-Star""
#NBAKicks https://t.co/nqf4AlqJQw",Nike,nbakicks,jt momma boy worn jayson tatum kobe em bruce lee kobe ad mid devin booker pe mb honeycomb fresh foam bb zach lavine pe trae young gt cut nike university pg flip switch lebron star,jt momma boy worn jayson tatum kobe em bruce lee kobe ad mid devin booker pe mb honeycomb fresh foam bb zach lavin pe trae young gt cut nike univers pg flip switch lebron star,jt momma boy worn jayson tatum kobe em bruce lee kobe ad mid devin booker pe mb honeycomb fresh foam bb zach lavin pe trae young gt cut nike univers pg flip switch lebron star
Nike,9740416,0,0,0,0,"The Infinity React 3 – hit the pavement with soft, stable support in one of our most tested shoes. Shop now on https://t.co/yYv8xSbp4x.",Nike,,infinity react hit pavement soft stable support one tested shoe shop,infin react hit pavement soft stabl support one test shoe shop,infin react hit pavement soft stabl support one test shoe shop
Shiekh.com,26452,0,0,0,762,"Scoop up your next pair of Forces at #Shiekh 
#Nike Air Force 1 '07 ""College Pack""  Midnight Navy 

Shop Online Pick Up In Store 
https://t.co/CRwtLofGK5 https://t.co/Kt1SEmEWQo",Nike,shiekh nike,scoop next pair force air force college pack midnight navy shop online pick store,scoop next pair forc air forc colleg pack midnight navi shop onlin pick store,scoop next pair forc air forc colleg pack midnight navi shop onlin pick store
Kent Lewis 🔥,6273,1,3,0,412,".@Nike and @Starbucks show how brands are rethinking #NFTs
https://t.co/K6mvZTdRQS via @AdAge",Nike,nfts,show brand rethinking via,show brand rethink via,show brand rethink via
British GQ,340101,2,1,0,3542,"Dropping tomorrow.
https://t.co/NgZxrn2pxp",Nike,,dropping tomorrow,drop tomorrow,drop tomorrow
HR Dive,7147,0,0,0,60,"Nike announced changes to senior leadership across both its direct-to-consumer and human resources divisions, ushering in a new vice president and general manager of women’s, as well as a new chief of diversity, equity and inclusion. https://t.co/XzadXRvqBl",Nike,,nike announced change senior leadership across direct consumer human resource division ushering new vice president general manager woman well new chief diversity equity inclusion,nike announc chang senior leadership across direct consum human resourc divis usher new vice presid gener manag women well new chief divers equiti inclus,nike announc chang senior leadership across direct consum human resourc divis usher new vice presid general manag women well new chief divers equiti inclus
Complex Sneakers,927141,466,20,1,45192,"Fly Streetwear x Nike SB Dunk Low
🗓️March 25
💰$120 https://t.co/MWGAOUir45",Nike,,fly streetwear x nike sb dunk low march,fli streetwear x nike sb dunk low march,fli streetwear x nike sb dunk low march
Ryan Wyatt 💜,429147,253,33,14,32972,"Loving the progress of @Nike's .SWOOSH program on @0xPolygon  

It is the home to Nike virtual creations, a new world where community members can explore and purchase virtual products and participate in immersive experiences. Even I just got my code in today. :) https://t.co/scukSdyg35",Nike,,loving progress swoosh program home nike virtual creation new world community member explore purchase virtual product participate immersive experience even got code today,love progress swoosh program home nike virtual creation new world commun member explor purchas virtual product particip immers experi even got code today,love progress swoosh program home nike virtual creation new world communiti member explor purchas virtual product particip immers experi even got code today
Sneaker Steal,329542,11,1,1,11758,"Nike Dunk Low 'Reverse Brazil'

https://t.co/vn6M3ceAB3 https://t.co/sI6sDPynkf",Nike,,nike dunk low reverse brazil,nike dunk low revers brazil,nike dunk low revers brazil
Sneaker Steal,329542,12,2,0,11120,"Nike Dunk Low 'Reverse Brazil'

https://t.co/7v41bP1g0m https://t.co/Y1H8IojEWv",Nike,,nike dunk low reverse brazil,nike dunk low revers brazil,nike dunk low revers brazil
Nike,9740428,0,0,0,0,"The Nike Invincible 3 brings supreme comfort, softness, and lightweight support to your runs. Shop now on https://t.co/yYv8xSbp4x.",Nike,,nike invincible brings supreme comfort softness lightweight support run shop,nike invinc bring suprem comfort soft lightweight support run shop,nike invinc bring suprem comfort soft lightweight support run shop
Sneaker Steal,329542,7,3,0,9050,"Nike Air More Uptempo '96 'Black / Blue / Pink'

https://t.co/wVPbwhZRAy https://t.co/Ga1WF87f6r",Nike,,nike air uptempo black blue pink,nike air uptempo black blue pink,nike air uptempo black blue pink
Golfweek,197791,0,0,0,3050,Best golf shirts and polos for 2023  https://t.co/72XlzK3Dps,Nike,,best golf shirt polo,best golf shirt polo,best golf shirt polo
Sneaker Steal,329542,5,0,0,9501,"FaZe Clan x Nike LeBron NXXT Gen 'University Red/Black'

https://t.co/5QhXf9EmGw https://t.co/LqrsL55AR5",Nike,,faze clan x nike lebron nxxt gen university red black,faze clan x nike lebron nxxt gen univers red black,faze clan x nike lebron nxxt gen univers red black
Sneaker Steal,329542,3,0,0,9062,"Lebron x Faze Collection

https://t.co/HxnpttiNbO https://t.co/dyziU1CSDT",Nike,,lebron x faze collection,lebron x faze collect,lebron x faze collect
Murfreesboro TN Police Department,8327,5,3,0,1196,"Detectives are asking for help identifying this person of interest in a theft of merchandise case.  On Feb. 22, an unidentified individual stole $3,000 worth of Nike apparel from Finish Line on Old Fort Pkwy.  Call Det. Worden at 629-201-5637 or via email 0954@murfreesborotn.gov. https://t.co/QYE5UcNvcP",Nike,,detective asking help identifying person interest theft merchandise case feb unidentified individual stole worth nike apparel finish line old fort pkwy call det worden via email,detect ask help identifi person interest theft merchandis case feb unidentifi individu stole worth nike apparel finish line old fort pkwi call det worden via email,detect ask help identifi person interest theft merchandis case feb unidentifi individu stole worth nike apparel finish line old fort pkwi call det worden via email
Sneaker Steal,329542,4,0,0,8486,"Women’s Air Jordan 1 Low SE ‘Powder Blue / Ice’

https://t.co/GBxx1JUYpu https://t.co/Ujsuy6nwfq",Nike,,woman air jordan low se powder blue ice,women air jordan low se powder blue ice,women air jordan low se powder blue ice
Sneaker Steal,329542,5,1,0,9690,"Nike Sportswear Club Fleece Pullover Hoodie $45.00 Free Shipping

https://t.co/xxxQp3SUrt https://t.co/WgeW3MAAMT",Nike,,nike sportswear club fleece pullover hoodie free shipping,nike sportswear club fleec pullov hoodi free ship,nike sportswear club fleec pullov hoodi free ship
Sneaker Steal,329542,2,0,0,8655,"25% off💥

Nike Sportswear Club Fleece Pullover Hoodie 

$45.00 + Free Shipping

https://t.co/ADoqmT3vhT

*use code WOMEN25 at checkout* https://t.co/5eGYxRRqSM",Nike,,nike sportswear club fleece pullover hoodie free shipping use code checkout,nike sportswear club fleec pullov hoodi free ship use code checkout,nike sportswear club fleec pullov hoodi free ship use code checkout
The Local Europe,19868,0,0,0,221,"From studying in Seville to working with corporate giants like Nike and Accenture, MBA alum Javier Garcia Royo, shares how this MBA program helped him launch his cycling business.

#Ad

https://t.co/thcIGBWbbV",Nike,ad,studying seville working corporate giant like nike accenture mba alum javier garcia royo share mba program helped launch cycling business,studi sevil work corpor giant like nike accentur mba alum javier garcia royo share mba program help launch cycl busi,studi sevill work corpor giant like nike accentur mba alum javier garcia royo share mba program help launch cycl busi
Sneaker Steal,329542,9,0,1,10746,"PS Nike Force 1 LV8 'Multi-Color'

https://t.co/tU2l1VxFol https://t.co/dYyjLpvEzN",Nike,,p nike force multi color,ps nike forc multi color,ps nike forc multi color
The Big Issue,68627,32,12,2,6584,"This is @johnmcavoy2's incredible story of redemption from a high-security prison to Nike-sponsored athlete. He is launching a project to empower vulnerable young people through sport and nature 

https://t.co/RySyJvsOii",Nike,,incredible story redemption high security prison nike sponsored athlete launching project empower vulnerable young people sport nature,incred stori redempt high secur prison nike sponsor athlet launch project empow vulner young peopl sport natur,incred stori redempt high secur prison nike sponsor athlet launch project empow vulner young peopl sport natur
Liverpool FC News,1000653,101,4,3,12113,"Very 95/96...

https://t.co/zFjM3FQalP",Nike,,,,
Sneaker Steal,329542,5,0,0,8787,"FaZe Clan x Nike LeBron NXXT 

Footlocker https://t.co/hqJlDg1F8E
Champs https://t.co/JeEBu2smAl https://t.co/H53HBRlLmS",Nike,,faze clan x nike lebron nxxt footlocker champ,faze clan x nike lebron nxxt footlock champ,faze clan x nike lebron nxxt footlock champ
J23 iPhone App,543239,12,0,0,19869,"NEW: Nike GTS 97 ""Pearl Pink"" on @nikestore

Link -&gt; https://t.co/M7Ul3e7JVR https://t.co/fKa2Lqwmmv",Nike,,new nike gts pearl pink link gt,new nike gt pearl pink link gt,new nike gts pearl pink link gt
